Cognome e Nome				Link
CONTINIÊCaterina				http://www.scopus.com/authid/detail.url?authorId=7005165698
CONTO'ÊFrancesco				http://www.scopus.com/authid/detail.url?authorId=55428422300
COPPOLAÊAdele				http://www.scopus.com/authid/detail.url?authorId=22939835600
CORSIÊStefano				http://www.scopus.com/authid/detail.url?authorId=55336333000
CORTIGNANIÊRaffaele			https://www.scopus.com/authid/detail.uri?authorId=33467498100
COVINOÊDaniela				http://www.scopus.com/authid/detail.url?authorId=39961304500
COZZIÊMario				http://www.scopus.com/authid/detail.url?authorId=55863916800
CRESCIMANNOÊMaria			http://www.scopus.com/authid/detail.url?authorId=14420743800
CUCUZZAÊGiuseppe				http://www.scopus.com/authid/detail.url?authorId=56500749500
CUPOÊPaolo				https://www.scopus.com/authid/detail.uri?authorId=57193336538
CURZIÊDaniele				https://www.scopus.com/authid/detail.uri?authorId=55258590900
D'AMICOÊMario				http://www.scopus.com/authid/detail.url?authorId=35721677200
DE BONIÊAnnalisa				http://www.scopus.com/authid/detail.url?authorId=12807144900
DE CASTROÊPaolo				http://www.scopus.com/authid/detail.url?authorId=37099687500
DE DEVITIISÊBiagia			http://www.scopus.com/authid/detail.url?authorId=55904053500
DE GENNAROÊBernardo			https://www.scopus.com/authid/detail.uri?authorId=57201458127
DE LUCAÊAnna Irene			https://www.scopus.com/authid/detail.uri?authorId=56032580100
DE MARCHIÊElisa				https://www.scopus.com/authid/detail.uri?authorId=56376111700
DE MEOÊEmilio				https://www.scopus.com/authid/detail.uri?authorId=56377300100
DE PASCALEÊAngelina			https://www.scopus.com/authid/detail.uri?authorId=56105110600
DE PINÊAntonio				https://www.scopus.com/authid/detail.uri?authorId=57204918539
DE ROSAÊMarcello				http://www.scopus.com/authid/detail.url?authorId=24435896100
DE SALVOÊMaria				https://www.scopus.com/authid/detail.uri?authorId=24461430800
DEFRANCESCOÊEdi				http://www.scopus.com/authid/detail.url?authorId=56015820400
DEL GIUDICEÊTeresa			http://www.scopus.com/authid/detail.url?authorId=8277548700
DEMARTINIÊEugenio			http://www.scopus.com/authid/detail.url?authorId=54412241900
DI FRANCOÊCaterina			http://www.scopus.com/authid/detail.uri?authorId=6602945520
DI GREGORIOÊDonatella Maria G.		https://www.scopus.com/authid/detail.uri?authorId=57202372406
DI IACOVOÊFrancesco Paolo			http://www.scopus.com/authid/detail.url?authorId=56073440500
DI PASQUALEÊJorgelina			https://www.scopus.com/authid/detail.uri?authorId=55317937000
DI VITAÊGiuseppe, Antonio			https://www.scopus.com/authid/detail.uri?authorId=57194222042
DOMINICIÊAndrea				https://www.scopus.com/authid/detail.uri?authorId=57203180154
DONATIÊMichele				https://www.scopus.com/authid/detail.uri?authorId=55746760900
DONIAÊEnrica				http://www.scopus.com/authid/detail.url?authorId=56049720500
DONOÊGabriele				http://www.scopus.com/authid/detail.url?authorId=35781537200
ENDRIGHIÊEmiro				https://www.scopus.com/authid/detail.uri?authorId=57222371863
FAGARAZZIÊClaudio			http://www.scopus.com/authid/detail.url?authorId=6504545142
FALASCONIÊLuca				http://www.scopus.com/authid/detail.url?authorId=56690636700
FALCONEÊGiacomo				https://www.scopus.com/authid/detail.uri?authorId=56032662600
FANELLIÊRosa Maria			http://www.scopus.com/authid/detail.url?authorId=7101870558
FAVIAÊMariafara				http://www.scopus.com/authid/detail.url?authorId=24544614200
FERRAZZIÊGiovanni			http://www.scopus.com/authid/detail.url?authorId=42661283900
FILIPPINIÊRosalia			https://www.scopus.com/authid/detail.uri?authorId=57201317843
FINCOÊAdele				http://www.scopus.com/authid/detail.url?authorId=9633964300
FIOREÊMariantonietta			https://www.scopus.com/authid/detail.uri?authorId=56225909500
FISCHERÊChristian Diethard		http://www.scopus.com/authid/detail.url?authorId=35218635600
FORLEOÊMaria Bonaventura			http://www.scopus.com/authid/detail.url?authorId=56285590000
FOTIÊVera Teresa				http://www.scopus.com/authid/detail.url?authorId=53863567500
FRANCESCHINISÊCristiano			https://www.scopus.com/authid/detail.uri?authorId=57191040290
FRANCOÊSilvio				https://www.scopus.com/authid/detail.uri?authorId=35767619600
FRASCARELLIÊAngelo			https://www.scopus.com/authid/detail.uri?authorId=57195313239
FRATINIÊRoberto				https://www.scopus.com/authid/detail.uri?authorId=57034316500
FRISIOÊDario Gianfranco			http://www.scopus.com/authid/detail.url?authorId=42661338800
FUCILLIÊVincenzo				https://www.scopus.com/authid/detail.uri?authorId=56960467300
FURESIÊRoberto				http://www.scopus.com/authid/detail.url?authorId=56073873400
